Review,y_rasa,c_rasa,y_pelayanan,c_pelayanan,y_tempat,c_tempat,y_harga,c_harga
"Tempat parkir banyak, cukup bersih, toilet pun bersih. Pelayanan standar, tapi tempatnya nya selalu ramai dengan anak sekolah dan meja-meja seringkali penuh baik pagi, siang, sore, ataupun malam. Sehingga sulit untuk mendapatkan tempatnya , terutama bagi yang beramai-ramai",0,0,0,1,0,1,0,0
Saya tidak akan kembali lagi karena harga yang terlalu mahal untuk makanan yang biasa-biasa saja.,0,1,0,0,0,0,-1,1
"Tempat makannya kotor dan kurang nyaman, pelayanan nya juga lama banget, kelaparan nungguinnya",0,0,-1,1,-1,1,0,0
"bukan sekedar tempatnya makan siap saji, tapi juga menyediakan tempatnya yang nyaman walau harganya memang agak mahal.",0,0,0,0,1,1,-1,1
Harga mahal tapi rasa gak sebanding dan kurang memuaskan lidah. Pelayanan perlu ditingkatkan lagi,0,1,0,1,0,0,-1,1
"tempatnya ramai banget jadi kurang nyaman, pelayannya juga kurang ramah dan terlihat judes",0,0,-1,1,-1,1,0,0
The best la tempatnya makan Terenak dan ternyaman pokoknya mah rating 5 harus,1,1,0,0,1,1,0,0
"Harganya ga masuk akal woi dengan harga segitu, padahal rasanya biasa aja",0,1,0,0,0,0,-1,1
"Dari dulu sampai sekarang masih tetap terjaga rasa nya, ditambah sering ada promo baik online atau langsung dan suka mampir kesini",1,1,0,0,0,0,1,1
"Wow mantap pelayanannya disini, cepet banget... Keramahannya juga sangat baik. Harganya juga pas banget dikantong pelajar",0,0,1,1,0,0,1,1
"Pelayanannya cuek, harus panggil berkali-kali. Rasanya gak istimewa.",-1,1,-1,1,0,0,0,0
"nunggu 1jaman padahal cm pesen 2 menu,sedangakn yg baru dtg lgsg dilayanin,tolong ditingkatin lg pelayanannya. Mana tempatnya kotor banget lagi kaya ga terjaga kebersihannya",0,0,-1,1,-1,1,0,0
"Enak sih, sesuai protokol kesehatan.. Klo dine in enak diatas ya, jangan dibawah ga bgitu nyaman klo di bawah, kecuali yang smoking area di depan.. Asal jangan ujan aja bisa tampias air hujan..",0,0,0,0,0,1,0,0
"tempatnya cocok untuk anak-anak dan orang dewasa, dengan menyajikan berbagai hidangan ayam yang rasanya disukai semua orang",1,1,0,0,0,1,0,0
Untuk Rasa....jelas mantap....harganya sangat murah.. dua jempol untuk mcdonald's,1,1,0,0,0,0,1,1
"untuk rasa tidak perlu direview karena semua cabang sama, yang kurang adalah tempatnya nya yang kecil sehingga untuk makan bersama keluarga sangat sulit mencari tempatnya duduk.",0,1,0,0,-1,1,0,0
makanannya enak tapi pelayanannya biasa aja ga terlalu cepat dan harganya standar,1,1,0,1,0,0,0,1
"Tempatnya kecil, sering kepenuhan sehingga kalo mau makan disini kadang harus nunggu. Terakhir kesini layanannya salah karena sanking ramainya jadi kewalahan",0,0,-1,1,-1,1,0,0
"Tempat tidak terlalu nyaman, pelayanan kurang baik tapi harganya murah",0,0,-1,1,0,1,1,1
Harga minuman di sini sangat tinggi untuk rasa yang sangat biasa.,0,1,0,0,0,0,-1,1
"Setelah pindah ke tempatnya yang baru ini, mcd tambah keren, drivethru nya juga ada, jadi bisa pesan dari mobil langsung, ga usah turun dari mobil, cocok di masa pandemi ini, parkir cukup luas, namun berada di pas kemacetan kalau jam jam sibuk, semoga tetap mantap produknya",0,0,1,1,0,1,0,0
"Tempatnya nyaman, dan strategis, makanannya fav banget aku dan kluarga nih",1,1,0,0,1,1,0,0
"makanan yang enak , tempatnya yang nyaman , dan semuanya bersih.
terfavorit",1,1,0,0,1,1,0,0
Tempatnya nyaman banget...dan makanannya enak2 semua.,1,1,0,0,1,1,0,0
"Meskipun pelayanannya baik, rasa makanannya buruk dan harganya tidak masuk akal.",-1,1,1,1,0,0,-1,1
"Tempatnya enak banget buat nongkrong, tapi rasanya kurang enak dan terlalu mahal.",-1,1,0,0,1,1,-1,1
semua karyawan baik .ramah . Sopan semuanyaaa. tempatnya lumayan cocok buat santai and nongkrong,0,0,1,1,0,1,0,0
"Pelayanan sangat buruk, mentang mentang yang beli karyawan, masak pesanan udah jadi nggak di panggil. Pesn minum apa di kasih apa hadehhh minta tolong yaa, jangan di beda bedain. Pembeli adalah raja tidak melihat pangkat dan derajat!! Tempatnya juga kotor banget!!",0,0,-1,1,-1,1,0,0
"tempatnya sangat nyaman dan bersih. Pelayanan cekatan, tapi antriannya panjang.",0,0,0,1,1,1,0,0
"tempatnya Bagus bersih, dan makanan nya juga enak Sangat rekomendasi",1,1,0,0,1,1,0,0
"Pelayanannya lambat, makanannya sih biasa aja, tapi harganya kemahalan banget",0,1,-1,1,0,0,-1,1
"Tempatnya enak untuk kumpul keluarga dan bersih rapi, tapi sayang pelayannya kurang ramah",0,0,-1,1,1,1,0,0
"Resto cepat saji satu ini emang favorit bgt sih, kebetulan kesini nuker voucher dari aplikasi mcd lumayan dpt promonya menarik bgt,banyak cuma 50rb udah plus pajak y. Jd klo mau banyak promo menarik",0,0,0,0,0,0,1,1
rasa pedasnya enak tapi terlalu pedas. Pelayanan oke tapi lumayan lama karena banyak antrian. Tempatnya lumayan luas sih.,0,1,0,1,0,1,0,0
"Pelayanan kurang ramah karyawannya tidak terlalu membantu, kurang nyaman juga sama tempatnya. harganya juga terjangkau",0,0,-1,1,-1,1,1,1
"Wafflenya sangat enak, pas sama lidah saya. Tapi sayang tempatnya kurang bersih",1,1,0,0,-1,1,0,0
"Gaa terlalu ramai, cocok buat tempatnya ngobrol",0,0,0,0,0,1,0,0
"Tempatnya cozy meskipun agak berisik karena ramai, pelayanan baik dan responsif meskipun agak lama menunggunya. Top pokoknya",0,0,0,1,0,1,0,0
"tempatnya bagus. Tapi pegawai nya ga ramah, kurang membantu pelanggan. Makanan biasa aja kaya mekdi lain nya.",0,1,-1,1,1,1,0,0
"Tempat cukup nyaman bersih dan asri walau tidak terlalu luas, pelayanan bagus, cocok untuk bersantai dengan keluarga...mantab.",0,0,1,1,0,1,0,0
"Porsi kecil untuk harga segitu, gak worth it.",0,0,0,0,0,0,-1,1
Makanan disini sangat cocok untuk dinikmati bersama teman dan keluarga bukan cuman makanan minuman juga ada berbagai farian.Rasanya lezat dan istimewa. Pelayanan yang baik dan suasana dan tempatnya juga lumayan mendukung. Harus mampir pokoknya!,1,1,1,1,0,1,0,0
"Burger enak, tapi tidak suka root beer. Menu ayamnya juga kurang enak, terlalu kecil dan kering. Ini memiliki outlet lain di lantai dasar dekat pintu masuk mal. Saya bertanya-tanya mengapa setiap A&W yang saya kunjungi memiliki layanan yang buruk, mereka benar-benar harus meningkatkan kualitas staf.",-1,1,-1,1,0,0,0,0
"pelayanan kurang responsif, mohon diperbaiki lagi. tempatnya bersih dan lumayan luas walau agak ramai",0,0,0,1,0,1,0,0
"Tempat ini sangat strategis dan nyaman untuk bertemu keluarga maupun teman untuk menemani bersantai dengan menu"" yg tersedia,bisa ngemil dan bisa membicarakan soal bisnis,menunya banyak yg pastinya makanan nya enak cocok untuk memanjakan lidah",1,1,0,0,1,1,0,0
Ada 3 tingkat. Jdi tidak terlalu pusing utk mencari tempat makannya dan layanannya cepat walaupun harganya mahal,0,0,1,1,1,1,-1,1
Saya tidak mengerti mengapa restoran ini mematok harga setinggi itu untuk makanan yang tidak enak,-1,1,0,0,0,0,-1,1
parkir nya ga bgitu luas..clean meja nya kurang bersih..pelayanan nya terlalu cuek..minta tissue saja susah..pelayan nya pura2 tidak dengar..skali minta cm dikasih 2 lembar..hrus nya tisue dksih lebih jg tdak apa2 krn yg bw anak kecil pst membutuhkan bnyk..toh sedotan jg sdh tidak ada..hrus lbih ramah pelayannya..,0,0,-1,1,-1,1,0,0
tempatnya nyaman dan bersih. pelayanan perlu ditingkatkan lagi. untuk harga pas dikantong,0,0,0,1,1,1,1,1
"Enak di lantai 2, tapi kalo buat perokok tempatnya nya gaada yg enak sih",0,0,0,0,0,1,0,0
"Harga makanan murah sih, tapi tempatnya berantakan dan pelayanannya jelek",0,0,-1,1,-1,1,1,1
"Pelayanan ramah..
Makanan dan semua yang di jual sungguh enak tiada duanya..
Recommended deh pokoknya..",1,1,1,1,0,0,0,0
Tempat ny strategis mudah dijangkau dn tempatnya nya nyaman parkiran luas cocok banget buat mampir disaat perjalanan jauh makanan ny terjakau kantong,0,0,0,0,1,1,1,1
Tempatnya asik buat makan maupun sekedar nongkrong bersama keluarga dan teman-teman. Fasilitas sangat baik tapi sayang pelayanan juga kurang bagus.,0,0,-1,1,1,1,0,0
"So Far memang MCD Hayam Wuruk tempatnya yang stragis, tapi memang kalau disini karena trllu rame kadang agak sesak ya, jadi lebih sering untuk Drive Thru..",0,0,0,0,0,1,0,0
"Suka banget makan disini, kalo menunya tergantung selera semua menunya serupa tidak jauh bervariasi. Pekerja nya pada helpful dan ramah. tempatnya langganan aku sih ya. Udh gitu tempatnya Parkirnya luas",0,1,1,1,1,1,0,0
"Tempatnya nggak nyaman dan pelayanannya lambat, tapi harganya terjangkau dan makanannya enak.",1,1,-1,1,-1,1,1,1
"Makan nya mantap sesuai selera,
Paket panasnya josss, MC flury yang terbaru enakkkkk,
tempatnya bersih dan wangi,",1,1,0,0,1,1,0,0
"Makanan enak tapi kasir tidak ramah, tidak akan pernah kembali ke cabang ini",1,1,-1,1,0,0,0,0
"Tempatnya ramai dan nyaman, ada drive thru nya, antrinya lumayan lama tapi pelayanannya cukup cekatan",0,0,0,1,1,1,0,0
"McD di Hayam Wuruk ini cukup baik dan bersih. Kondisi di dalam cukup dingin dan leluasa. Jarak antar kursi dan meja tidak terlalu mepet. Akan tetapi karena bangunan didominasi kaca, saat siang terasa terik untuk dine-in disini. Selain itu,",0,0,0,0,0,1,0,0
"Tempat yg nyaman, makanannya enak2 semuaa",1,1,0,0,1,1,0,0
"Enak banget, your nowadays type of cafe. Siang-sore nongkrong di sini juga enak. Ada 3 lantai, wifi juga ada. Mantul dah",1,1,0,0,1,1,0,0
"Enak bgt, tempatnya nongkrong dan makan enak",1,1,0,0,1,1,0,0
"Layanan buruk, tempatnya nya gak nyaman, mana makannya depan WC, pelayanannya kyak garong. Males!",0,0,-1,1,-1,1,0,0
"Hahahahaha dlu pas msh kerja di jakart suka nongkrong disini malem2
Tempatny rame, tp di lt 2nya biasanya kosong kok",0,0,0,0,0,1,0,0
"Makanan terlalu pedas, padahal pesan yang gak pedas dan tempatnya sempit. Tapi banyak diskon si jadi harganya murah",-1,1,0,0,-1,1,1,1
"saya gojek tapi makanan yang datang nggak lengkap, nomor tidak bisa dihubungi. restorannya ditutup saja kalau jualannya nggak niat. Pembeli juga complain makanannya ga enak kaya basi",-1,1,-1,1,0,0,0,0
"Lokasi yang tepat untuk nongkrong bersama teman dan keluarga, layanan baik makanan yang enak serta terjangkau, akses mudah dengan lokasi parkir yang mudah.",1,1,1,1,1,1,1,1
"Walaupun pelayanannya kurang baik, tapi karna harganya murah jadi saya suka",0,0,-1,1,0,0,1,1
"Lokasinya strategis.....pegawainya cekatan,sayang waktu kesini kasirnya cuman 1 yg jaga...jadi agak lama ordernya....",0,0,0,1,1,1,0,0
"Minumannya encer, kayak air putih dikasih es doang. Tempatnya kurang bersih.",-1,1,0,0,-1,1,0,0
"kebetulan mcd di sini buka 24 jam jadi kalo mau sambil ngerjain tugas atau sekadar gabut bisa kesini sekitar jam 9 ke atas karena pengunjungnya udah mulai sepi. Soal rasa makanan gausa ditanya deh, udah pada tau juga kan makanan mcd kayak gimana :). Pelayanan oke",1,1,0,1,0,0,0,0
"Bagus untuk anak muda, parkiran motor banyak, parkiran mobil cukup, tidak ramah untuk anak2 karena tidak ada playgroundnya.",0,0,0,0,0,0,0,0
"Tempatnya bagus banget,comfy,makanannya enak pastinya.cocok buat anak kuliahan yang mau ngerjain tugas, cocok juga buat family yang mau makan bersama",1,1,0,0,1,1,0,0
"Makanannya kok rasanya gini ya, kaya ga ada rasa kurang enak. Tempatnya juga sepertinya tidak dibersihkan dengan baik, banyak debu-debu yang menempel",-1,1,0,0,-1,1,0,0
"Note disini hanya lokasi parkiran yang terbatas, jadi buat yang bawa mobil Hrus pikirin alternative tmpt parkir klo makan di jam istirahat..",0,0,0,0,-1,1,0,0
"Harganya terlalu mahal, tempatnya gak nyaman karena sempit dan kotor",0,0,0,0,-1,1,-1,1
"Menu season yang paling melekat di hati, ayam gulai mcd, orangtua sampai anak2 suka. Pelayanannya ramah tapi kurang cekatan",1,1,0,1,0,0,0,0
Tempat yang lumayan cocok buat makan sama temen-temen. pelayanan harap ditingkatkan lagi,0,0,0,1,0,1,0,0
"Tempatnya menarik,nyaman,ramah anak juga,menunya pun banyak pilihan nya dari ekonomi hingga yang elit,wajib di coba",0,0,0,0,1,1,0,1
"Makan disini selain bisa buat kenyang rasanya juga nikmat
Apalagi ayam goreng tepungnya
Utk pelayanan memuaskan",1,1,1,1,0,0,0,0
Makanan di sini terlalu mahal untuk apa yang Anda dapatkan.,0,0,0,0,0,0,-1,1
"Tempat yang nyaman, makanan enak, kasirnya ramah tapi kurang teliti",1,1,0,1,1,1,0,0
McD nya sangat penuh.. kadang nunggu dulu buat dapat kursi..,0,0,0,0,-1,1,0,0
"Tempatnya bersih, pelayanan gak terlalu responsif, sangat cocok untuk acara keluarga atau bersama teman2. Coba buka di desa jangan di kota besar aja , mantab.",0,0,0,1,1,1,0,0
Terlalu ramai untuk nongkrong Wifi pdhl yg butuh makan beneran juga banyak.. Tolong lah di tertibkan utk gantian.,0,0,0,0,-1,1,0,0
"Pelayanannya cuek, susah dipanggil terus makanannya datang lama lagi, buruk banget pelayanannya untuk rasanya enak dan harganya masih oke",1,1,-1,1,0,0,1,1
Ya kaya mcd pada umumnya lumayan lah untuk restoran fast food,0,0,0,0,0,0,0,0
"Makan ditempatnya , Anda akan menikmati Tempat yang bersih, Makanan siap tersaji cepat dan masih Hangat, Pelayanan ramah tapi agak lama ketika dipanggil. Tempatnya nyaman ada Wifi GRATIS disana. Untuk tempatnya diskusi sambil istirahat sangatlah NYAMAN",0,0,0,1,1,1,0,0
"Ayam tidak fresh nasi tidak hangat kacauu , req paha dikasih sayap smua paha cuma 1. Minum tidak dikasih drinktry, sauce pelit . Kecewaa seperti beli fried chicken pinggir jalan",-1,1,-1,1,0,0,0,0
"pelayanannya sangat memuaskan, kebetulan sedang ada kerjaan di daerah sini minggu kemarin, pesan ice cone pas lagi cuaca sangat panas dan chicken nuggets mbaknya ramah, bakal jadi langganan kalau ke daerah sini lagi.",1,1,1,1,0,0,0,0
"Tempat strategis, area parkiran luas, area makan besar dan nyaman, rasa makanan sesuai standar rasa McD.",0,1,0,0,1,1,0,0
"Layanan cekatan tapi kurang senyum ramah. Tempat kurang tenang tapi bersih.
Makanan lumayan enak walau kurang berasa bumbunya",0,1,0,1,0,1,0,0
Lt 3 ga pernah dibuka padahal kosong sedangkan lt 1 dan 2 full. Saya pesan mc cafe org nya malah blg gatau kl ad pesanan. Jd saya nunggu lama.,0,0,-1,1,0,1,0,0
"Tempatnya sangat strategis, dan nyaman sekali, hanya sayang buat Gojek atau gribe klu lagi dapat order gofood harus antri dan berdesak-desakn",0,0,0,0,0,1,0,0
"Mantap banget kak, buat yang cari makanan enak, suasana nyaman",1,1,0,0,1,1,0,0
"Jujur aja, makanannya ga enak, tempatnya sempit, dan pelayanannya ga ramah. Tapi harga sih masih oke.",-1,1,-1,1,-1,1,1,1
"Enak banget tempatnya nya bersih, makanannya juga enak enak",1,1,0,0,1,1,0,0
"Salah satu Mccafe besar di bilangan Hayam Wuruk. Lokasinya cukup strategis. Kalian bisa naik buswe kesini. Dan gak terlalu jauh lokasinya dari halte busway. Tapi sayang toiletnya kurang bersih. Dan kalau kalian berada di smoking room yang ada di atas, wifinya kurang bisa nyambung dan kuat",0,0,0,0,-1,1,0,0
"pelayanannya standar si, tapi tempatnya nya bagus bersih,dn makanannya enak2 semuanya,",1,1,0,1,1,1,0,0
Tempatnya luas tp harys pinter2 milih bangku kalo ga bisa kepanasan kr gedungnya kaca semua,0,0,0,0,0,1,0,0
Drive thru untuk sore yg lapar.. Cobain menu baru khusus edisi Agustusan.. Kentang gulai dan flurry dengan teh botol.. Kalo rasa B ajah dan ga terlalu nendang..,0,1,0,0,0,0,0,0
"Ga ad diskon, harganya tidak merakyat mahal sekali",0,0,0,0,0,0,-1,1
"Pelayanan nya sangat memuaskan penyajian makanan cepat dan suasana tempatnya makan nyaman sekali, walaupun harganya agak mahal",0,0,1,1,1,1,-1,1
Lama banget pelayanan nya tapi staff baik dan komunikatif.. tapi tempatnya nyaman. Anak betah lama lama.,0,0,0,1,1,1,0,0
"Top banget pokonya
Bersih, ramah, harga terjangkau, tempatnya makan nyaman parkir luas.worthit bgt.",0,0,1,1,1,1,1,1
"Ventilasinya buruk dan ruangan terasa pengap, makanan tidak enak, tapi harganya cukup ramah di kantong",-1,1,0,0,-1,1,1,1
Seperti makanan mcd pada umumnya. Malam hari masih ramai,0,0,0,0,0,1,0,0
"Makanannya gak fresh, rasa sayurnya kayak udah lama. Pelayanannya cuek.",-1,1,-1,1,0,0,0,0
"Pelayanan ok..Tempat Strategis, cuma sign masuknya kurang keliatan..sempat bablas mundur lagi.. Parkiran lumayan....musshola lumayan",0,0,1,1,0,1,0,0
"Pelayanannya sangat tidak memuaskan, untuk rasa juga ga enak. tempat kotor banget kalo lagi jam makan siang",-1,1,-1,1,-1,1,0,0
"Kalo siang lewat sini, pasti mampir buat ngopi disini. Murah, enak dan porsi mantab.. Lumayan buat lepas ngantuk sambil nongkrong SM kawan",1,1,0,0,0,0,1,1
"Makanannya enak, tempatnya nya juga bersih sangat nyaman makan di sini. Tempat favorit sangat recommended",1,1,0,0,1,1,0,0
"Tempatnya nyaman, untuk rasanya tergantung selera. Dan harganya juga terjangkau, tidak terlalu mahal tidak terlalu murah",0,1,1,1,0,0,0,1
"mantap buat mekdi seperti biasa.. hanya sayang toilet di lantai 2 dan biasanya rame.. untuk makanan, drive through, dsb nya standard nya mekdi lah bagus ??",0,1,0,0,0,1,0,0
"Mantappp sekali tempatnya nya nyaman , bersihh, dan pelayanannya bagus namun rasanya biasa aja di lidah saya",0,1,1,1,1,1,0,0
Harga makanannya tidak sebanding dengan kualitas yang diberikan.,0,1,0,0,0,0,-1,1
"makanannya enak, pelayanannya juga mantap, terbaik lah",1,1,1,1,0,0,0,0
"McDonald's adalah sebuah restoran cepat saji yang menjadi tujuan untuk merayakan pesta ulangtahun anak, dimana paket happy meal menjadi menu favorit anak. Tersedia juga area bermain untuk anak apabila orangtua lagi mengantri memesan happy meal.",1,1,0,0,1,1,0,0
Buat yang suka lewat atau lg staycation di hayam wuruk pasti tahu McD ini. Ada Mc Cafe juga jadi bisa ngopi2. Pake app McD deh biar dapat promo jadi lebih hemat??,0,0,0,0,0,0,0,1
"Tempatnya nyaman dan luas ada playground jg buat anak2, anak sy pling suka diajak. Dan untuk harganya sesuai sama rasa",1,1,0,0,1,1,0,1
"pelayanan yang di berikan sangat baik, saya selalu suka semua makanan yang ada disini dan harganya standar sesuai dengan rasanya",1,1,1,1,0,0,0,1
Tempatnya enak bt nongkrong brg teman2 tp bt masukan aja td pas sy makan mejany goyank jd ga nyaman makannya..,0,0,0,0,0,1,0,0
"McDonald's ini adalah restourant yg cukup enak dan nyaman,baik itu dari segi makanan atau dari segi tempatnya ,dari sekian banyak restourant, McDonald's ada lah tempatnya yg paling banyak di cari di Indonesia, begitupun saya,kalau cari restoran",1,1,0,0,1,1,0,0
"Parah...!! Pelayanan buruk, makanannya juga ga enak tapi harganya emang murah si",-1,1,-1,1,0,0,1,1
"makanan nya sangat enak,suasananya adem sekaliiii, estetik lagii,keren bgtt buat anak mudaaa bahkannn tuaaa, KIWWW",1,1,0,0,1,1,0,0
"Beli paketan burger + kentang memang lengkap tp maaf saja kentangnya seperti kentang goreng kembali, rasanya ga fresh, keras malah pahit
Tolong dong maksimalkan mutu kualitasnya, masa mentang2 udh ramai pembeli kualitas kentang jd turun",-1,1,0,0,0,0,0,0
"Tempatnya strategis, makanan enak. Pelayanan lumayan baik. Kapan2 nanti pgn mampir lagi sambil nongki sama temen2",1,1,0,1,1,1,0,0
Disaat butuh utk charge Colokan mati semua parah sih asli...jelek sekali,0,0,0,0,0,0,0,0
"Tempatnya menarik, namun rasa makanannya buruk dan harganya tidak wajar.",-1,1,0,0,1,1,-1,1
"makanan nya lezat, pelayanan ny juga tanggap dan ramah saya beri bintang 5. top banhet deh pokoknya",1,1,1,1,0,0,0,0
Saya kecewa dengan harga tinggi yang tidak sebanding dengan kualitas.,0,1,0,0,0,0,-1,1
"Suasana tempatnya ga terlalu bagus, makanannya juga enggak terlalu enak, pelayanannya judes juga gila",-1,1,-1,1,-1,1,0,0
Tempat makan yang gak ada mati nya. Di sini rame banget Mungkin Karana tempatnya nya strategis kali nya pinggir jalan besar yg selalu ramai,0,0,0,0,0,1,0,0
"Makanannya hambar, ga enak. Tempatnya juga penerangannya buruk, ruangan jadi terlihat suram dan tidak menarik.",-1,1,0,0,-1,1,0,0
Lagi ada promo di bulan Juni 2020 ini menggunakan aplikasi cashback setiap hari Rabu ada casnback 50% minimal pembelanjaan Rp. 50rb dan maximal cashback Rp. 50rb. Hehehe,0,0,0,0,0,0,1,1
"Tempatnya nyaman, pelayanannya ramah, dan pastinya makanan yang disajikan enak dan murah meriah, cocok di kantong pelajar maupun pekerja",1,1,1,1,1,1,1,1
"Makanan di sini rasanya enak banget, sayang pelayanannya kurang ramah.",1,1,-1,1,0,0,0,0
"Tempatnya sangat bagus, harganya terjangkau, makanannya juga enak semua pokok nggk rugi kalau kalian kesini ayo cobain",1,1,0,0,1,1,1,1
"tempatnya nya bersih banget, makanannya juga recomended buat makan bersama teman ataupun keluarga",1,1,0,0,1,1,0,0
"tempatnya nya full terus,
banyak promo nya",0,0,0,0,0,1,1,1
Saya merasa harga yang dibayar terlalu mahal untuk kualitas makanan yang diberikan.,0,1,0,0,0,0,-1,1
"makanan enak serta pelayanan yg ramah, resepsionis yang cantik cantik",1,1,1,1,0,0,0,0
"Harganya sangat tidak wajar, kualitas makanan tidak sesuai.",-1,1,0,0,0,0,-1,1
"Pelayanannya sangat lambat, dan rasa makanan biasa saja, tapi harganya cukup murah.",0,1,-1,1,0,0,1,1
Harga makanan tidak sesuai dengan kualitas dan rasa yang ditawarkan.,-1,1,0,0,0,0,-1,1
"Parkirnya tidak terlalu luas. Area makan juga kecil tapi ada lantai atasnya. Pelayanan cepat, crew ramah.",0,0,1,1,0,1,0,0
"Pelayanan nya sangat ramah dan cepat,, untuk makanan nya masih hangat hangat next bakal langganan kesini lagi",1,1,1,1,0,0,0,0
"tempatnya cukup bersih dan luas, pelayanannya lumayan lama tapi cukup memuaskan, makanan nya enak enak",1,1,0,1,0,1,0,0
"kebersihan oke dan harganya terjangkau, pelayanan ramah... have fun makan di sini",0,0,1,1,1,1,1,1
"Lokasinya cukup strategis. Pelayanan ramah, tapi kadang lambat.
Cocok buat nongkrong anak muda dan parents yang bawa anak.",0,0,0,1,1,1,0,0
Harga minuman di sini sangat tidak masuk akal untuk rasa yang sangat buruk.,-1,1,0,0,0,0,-1,1
"Tempatnya gelap, kurang penerangan. Makanannya biasa aja, gak spesial.",0,1,0,0,-1,1,0,0
"makanannya enak dan lezat, walaupun tempatnya agak ramai makanan tetap datang dengan cepat & masih fresh. Staffnya lumayan juga ramah dan helpful. Ada satu staff yang agak jutek, mohon ditingkatkan lagi",1,1,0,1,0,1,0,0
Kecewa banget beli ayam disini. Sudah dibilangin ke kasir sy mau ayamnya yg dada masih aj ksh sayap. Tau gitu mending beli ayam hisana rasanya mlh lebih enak. Menang nama & tempatnya aja McDonald's. Bilang dong klo memang ga ada yg dada ayamnya. Asli smp rumah msh dongkol nih hati????,0,1,-1,1,0,0,0,0
"Harganya terjangkau, makanan dan minuman yang disajikan benar"" sangat bagus kualitasnya, dan layanannya juga bagus, pelayannya itu ramah tamah",1,1,1,1,0,0,1,1
"Makanan, sangat enak serta memanjakan setiap penikmat ayam goreng crispy
Layanan, tersedia Drive thru yg dapat memudahkan konsumen serta pelayanan yg baik dari para karyawan",1,1,1,1,0,0,0,0
