Review,y_rasa,c_rasa,y_pelayanan,c_pelayanan,y_tempat,c_tempat,y_harga,c_harga,clean_review
"Lokasi oke, makanan oke, pelayanan oke",0,1,0,1,0,1,0,0,lokasi oke makanan oke pelayanan oke
Pelayanan sangaat buruukkkk. Kalau tidak mampu mepekerjakan kasir lebih baik tutup saja.. Masa sekelas mcdonald kekurangan pekerja?????? Mana harganya naik terus makin mahal,0,0,-1,1,0,0,-1,1,pelayanan sangat buruukk kalau tidak mampu mepekerjakan kasir lebih baik tutup saja masa sekelas mcdonald kekurangan yang kerja mana harganya naik terus makin mahal
suasanya nyaman sekali pun membawa anak anak tetap bisa makan dengan tenang.tempatnya nya bersih tapi pelayanannya kurang ramah,0,0,-1,1,1,1,0,0,suasanya nyaman sekali pun membawa anak tetap bisa makan dengan tenang tempatnya bersih tapi pelayanannya kurang ramah
"untuk tempatnya bersih, harga terjangkau, tapi makanannya biasa saja.",0,1,0,0,1,1,1,1,untuk tempatnya bersih harga terjangkau tapi makanannya biasa saja
"Pelayanannya parah, pesen mcflury cadburry with choco yang di kasih kaya mcflurry biasa.
atau memang gambar ga sesuai realitanya? mesen karna liat postingan orang lain. Tapi untuk harga memang murah dan terjangkau",0,0,-1,1,0,0,1,1,pelayanannya parah pesan mcflury cadburry with choco yang di kasih kayak mcflurry biasa atau memang gambar tidak sesuai realitanya pesan karena lihat postingan orang lain tapi untuk harga memang murah dan terjangkau
"Pelayanan gak terlalu cepat dan cekatan, makanannya standar sih tapi harganya mahal",0,1,0,1,0,0,1,1,pelayanan tidak terlalu cepat dan cekatan makanannya standar sih tapi harganya mahal
"Milonya kebanyakan air, gak ada rasa milonya sama sekali. Pas komplain katanya emg rasanya begitu. Lah gimana?? Gak sesuai sama harga",-1,1,-1,1,0,0,-1,1,milonya kebanyakan air tidak ada rasa milonya sama sekali pas komplain katanya memang rasanya begitu lah bagaimana tidak sesuai sama harga
"Makanannya kurang berasa, harga terlalu mahal, tapi tempatnya nyaman.",-1,1,0,0,1,1,-1,1,makanannya kurang berasa harga terlalu mahal tapi tempatnya nyaman
"Pelayanan nya sangat baik cukup puas sekali, ayam khimci nya juga mantull untuk burger nya disini ok bangetsih juara pokoknya",1,1,1,1,0,0,0,0,pelayanan sangat baik cukup puas sekali ayam khimci juga mantull untuk burger disini oke bangetsih juara pokoknya
"Rasanya aneh, kayak ada yang kurang. Harga juga terlalu mahal.",-1,1,0,0,0,0,-1,1,rasanya aneh kayak ada yang kurang harga juga terlalu mahal
"Tempat kurang nyaman, makanannya juga kurang menendang lidah. Harganya lumayan terjangkau",-1,1,0,0,-1,1,0,1,tempat kurang nyaman makanannya juga kurang menendang lidah harganya lumayan terjangkau
"Karyawannya kurang ramah, tapi menunya dan harganya worth it si",1,1,-1,1,0,0,1,1,karyawannya kurang ramah tapi menunya dan harganya worth it sih
"Harga makanan sangat terjangkau, tapi tempatnya kotor dan tidak nyaman.",0,0,0,0,-1,1,1,1,harga makanan sangat terjangkau tapi tempatnya kotor dan tidak nyaman
Rasa makanannya cukup enak sih walau kurang asin. untuk pelayanannya juga semoga bisa lebih cepat dan responsif lagi.,0,1,0,1,0,0,0,0,rasa makanannya cukup enak sih walau kurang asin untuk pelayanannya juga semoga bisa lebih cepat dan responsif lagi
"Pelayanannya oke oke aja gak terlalu cekatan. Rasa makanannya juga lumayan, gak terlalu memenuhi ekspektasi untuk harga yang lumayan menguras kantong",0,1,0,1,0,0,0,1,pelayanannya oke saja tidak terlalu cekatan rasa makanannya juga lumayan tidak terlalu memenuhi ekspektasi untuk harga yang lumayan menguras kantong
salah satu restoran yang berkualitas terhadap produknya.harga yang terjangkau cocok bagi semua kalangan masyarakat.,1,1,0,0,0,0,1,1,salah satu restoran yang berkualitas terhadap produknya harga yang terjangkau cocok bagi semua kalangan masyarakat
"Disini rame terus jadi kadang agak lama untuk anter makanan ke meja, tapi karena ada aplikasinya skrng dapat harga lebih murah dan praktis juga, recommended",0,0,0,1,0,0,1,1,disini ramai terus jadi kadang agak lama untuk antar makanan ke meja tapi karena ada aplikasi nya sekarang dapat harga lebih murah dan praktis juga rekomendasi
"Tempat parkir banyak, cukup bersih, toilet pun bersih. Pelayanan standar, tapi tempatnya nya selalu ramai dengan anak sekolah dan meja-meja seringkali penuh baik pagi, siang, sore, ataupun malam. Sehingga sulit untuk mendapatkan tempatnya , terutama bagi yang beramai-ramai",0,0,0,1,0,1,0,0,tempat parkir banyak cukup bersih toilet pun bersih pelayanan standar tapi tempatnya selalu ramai dengan anak sekolah dan meja seringkali penuh baik pagi siang sore ataupun malam sehingga sulit untuk mendapatkan tempatnya terutama bagi yang beramai ramai
Saya tidak akan kembali lagi karena harga yang terlalu mahal untuk makanan yang biasa-biasa saja.,0,1,0,0,0,0,-1,1,saya tidak akan kembali lagi karena harga yang terlalu mahal untuk makanan yang biasa saja
"Tempat makannya kotor dan kurang nyaman, pelayanan nya juga lama banget, kelaparan nungguinnya",0,0,-1,1,-1,1,0,0,tempat makannya kotor dan kurang nyaman pelayanan juga lama banget kelaparan nungguinnya
"bukan sekedar tempatnya makan siap saji, tapi juga menyediakan tempatnya yang nyaman walau harganya memang agak mahal.",0,0,0,0,1,1,-1,1,bukan sekadar tempatnya makan siap saji tapi juga menyediakan tempatnya yang nyaman walau harganya memang agak mahal
Harga mahal tapi rasa gak sebanding dan kurang memuaskan lidah. Pelayanan perlu ditingkatkan lagi,-1,1,0,1,0,0,-1,1,harga mahal tapi rasa tidak sebanding dan kurang memuaskan lidah pelayanan perlu ditingkatkan lagi
"tempatnya ramai banget jadi kurang nyaman, pelayannya juga kurang ramah dan terlihat judes",0,0,-1,1,-1,1,0,0,tempatnya ramai banget jadi kurang nyaman pelayanannya juga kurang ramah dan terlihat judes
The best la tempatnya ternyaman dan termurah pokoknya mah rating 5 harus,0,0,0,0,1,1,1,1,the terbaik lah tempatnya ternyaman dan termurah pokoknya mah rating 5 harus
"Harganya ga masuk akal woi dengan harga segitu, padahal rasanya biasa aja",0,1,0,0,0,0,-1,1,harganya tidak masuk akal woi dengan harga segitu padahal rasanya biasa saja
"Dari dulu sampai sekarang masih tetap terjaga rasa nya, ditambah sering ada promo baik online atau langsung dan suka mampir kesini",1,1,0,0,0,0,1,1,dari dahulu sampai sekarang masih tetap terjaga rasa ditambah sering ada promo baik daring atau langsung dan suka mampir kesini
"Wow mantap pelayanannya disini, cepet banget... Keramahannya juga sangat baik. Harganya juga pas banget dikantong pelajar",0,0,1,1,0,0,1,1,wow mantap pelayanannya disini cepat banget keramahannya juga sangat baik harganya juga pas banget dikantong pelajar
"Pelayanannya cuek, harus panggil berkali-kali. Rasanya gak istimewa.",-1,1,-1,1,0,0,0,0,pelayanannya cuek harus panggil berkali kali rasanya tidak istimewa
"nunggu 1jaman padahal cm pesen 2 menu,sedangakn yg baru dtg lgsg dilayanin,tolong ditingkatin lg pelayanannya. Mana tempatnya kotor banget lagi kaya ga terjaga kebersihannya",0,0,-1,1,-1,1,0,0,tunggu 1jaman padahal cuma pesan menu sedangakn yang baru datang langsung di layan in tolong ditingkatkan lagi pelayanannya mana tempatnya kotor banget lagi kayak tidak terjaga kebersihannya
"Enak sih, sesuai protokol kesehatan.. Klo dine in enak diatas ya, jangan dibawah ga bgitu nyaman klo di bawah, kecuali yang smoking area di depan.. Asal jangan ujan aja bisa tampias air hujan..",0,0,0,0,0,1,0,0,enak sih sesuai protokol kesehatan kalau dine in enak diatas ya jangan dibawah tidak bgitu nyaman kalau di bawah kecuali yang smoking area di depan asal jangan ujan saja bisa tampias air hujan
"tempatnya cocok untuk anak-anak dan orang dewasa, dengan menyajikan berbagai hidangan ayam yang rasanya disukai semua orang",1,1,0,0,0,1,0,0,tempatnya cocok untuk anak dan orang dewasa dengan menyajikan berbagai hidangan ayam yang rasanya disukai semua orang
Untuk Rasa....jelas mantap....harganya sangat murah.. dua jempol untuk mcdonald's,1,1,0,0,0,0,1,1,untuk rasa jelas mantap harganya sangat murah dua jempol untuk mcdonald s
"untuk rasa tidak perlu direview karena semua cabang sama, yang kurang adalah tempatnya nya yang kecil sehingga untuk makan bersama keluarga sangat sulit mencari tempatnya duduk.",0,1,0,0,-1,1,0,0,untuk rasa tidak perlu direview karena semua cabang sama yang kurang adalah tempatnya yang kecil sehingga untuk makan bersama keluarga sangat sulit mencari tempatnya duduk
makanannya enak tapi pelayanannya biasa aja ga terlalu cepat dan harganya standar,1,1,0,1,0,0,0,1,makanannya enak tapi pelayanannya biasa saja tidak terlalu cepat dan harganya standar
"Tempatnya kecil, sering kepenuhan sehingga kalo mau makan disini kadang harus nunggu. Terakhir kesini layanannya salah karena sanking ramainya jadi kewalahan",0,0,-1,1,-1,1,0,0,tempatnya kecil sering kepenuhan sehingga kalau mau makan disini kadang harus tunggu terakhir kesini layanannya salah karena sanking ramainya jadi kewalahan
"Tempat tidak terlalu nyaman, pelayanan kurang baik tapi harganya murah",0,0,-1,1,-1,1,1,1,tempat tidak terlalu nyaman pelayanan kurang baik tapi harganya murah
Harga minuman di sini sangat tinggi untuk rasa yang sangat biasa.,0,1,0,0,0,0,-1,1,harga minuman di sini sangat tinggi untuk rasa yang sangat biasa
"Setelah pindah ke tempatnya yang baru ini, mcd tambah keren, drivethru nya juga ada, jadi bisa pesan dari mobil langsung, ga usah turun dari mobil, cocok di masa pandemi ini, parkir cukup luas, namun berada di pas kemacetan kalau jam jam sibuk, semoga tetap mantap produknya",0,0,1,1,0,1,0,0,setelah pindah ke tempatnya yang baru ini mcd tambah keren drivethru juga ada jadi bisa pesan dari mobil langsung tidak usah turun dari mobil cocok di masa pandemik ini parkir cukup luas namun berasa di pas kemacetan kalau jam sibuk semoga tetap mantap produknya
"Tempatnya nyaman, dan strategis, makanannya fav banget aku dan kluarga nih",1,1,0,0,1,1,0,0,tempatnya nyaman dan strategis makanannya fav banget aku dan kluarga nih
"makanan yang enak , tempatnya yang nyaman , dan semuanya bersih.
terfavorit",1,1,0,0,1,1,0,0,makanan yang enak tempatnya yang nyaman dan semuanya bersih terfavorit
Tempatnya nyaman banget...dan makanannya enak2 semua.,1,1,0,0,1,1,0,0,tempatnya nyaman banget dan makanannya enak semua
"Meskipun pelayanannya baik, rasa makanannya buruk dan harganya tidak masuk akal.",-1,1,1,1,0,0,-1,1,meskipun pelayanannya baik rasa makanannya buruk dan harganya tidak masuk akal
"Tempatnya enak banget buat nongkrong, tapi rasanya kurang enak dan terlalu mahal.",-1,1,0,0,1,1,-1,1,tempatnya enak banget buat nongkrong tapi rasanya kurang enak dan terlalu mahal
semua karyawan baik .ramah . Sopan semuanyaaa. tempatnya lumayan cocok buat santai and nongkrong. Harganya lumayan terjangkau,0,0,1,1,0,1,0,1,semua karyawan baik ramah sopan semuanyaa tempatnya lumayan cocok buat santai and nongkrong harganya lumayan terjangkau
"Pelayanan sangat buruk, mentang mentang yang beli karyawan, masak pesanan udah jadi nggak di panggil. Pesn minum apa di kasih apa hadehhh minta tolong yaa, jangan di beda bedain. Pembeli adalah raja tidak melihat pangkat dan derajat!! Tempatnya juga kotor banget!!",0,0,-1,1,-1,1,0,0,pelayanan sangat buruk mentang yang beli karyawan masak pesanan sudah jadi tidak di panggil pesn minum apa di kasih apa aduh minta tolong ya jangan di beda bedain pembeli adalah raja tidak melihat pangkat dan derajat tempatnya juga kotor banget
"tempatnya sangat nyaman dan bersih. Pelayanan cekatan, tapi antriannya panjang. Harganya kurang terjangkau",0,0,0,1,1,1,-1,1,tempatnya sangat nyaman dan bersih pelayanan cekatan tapi antriannya panjang harganya kurang terjangkau
"tempatnya Bagus bersih, dan makanan nya juga enak Sangat rekomendasi. Harganya murah meriah karna banyak cahsback, voucher dan diskon",1,1,0,0,1,1,1,1,tempatnya bagus bersih dan makanan juga enak sangat rekomendasi harganya murah meriah karena banyak cahsback kupon dan diskon
"Pelayanannya lambat, makanannya sih biasa aja, tapi harganya kemahalan banget",0,1,-1,1,0,0,-1,1,pelayanannya lambat makanannya sih biasa saja tapi harganya kemahalan banget
"Tempatnya enak untuk kumpul keluarga dan bersih rapi, tapi sayang pelayannya kurang ramah",0,0,-1,1,1,1,0,0,tempatnya enak untuk kumpul keluarga dan bersih rapi tapi sayang pelayanannya kurang ramah
"Resto cepat saji satu ini emang favorit bgt sih, kebetulan kesini nuker voucher dari aplikasi mcd lumayan dpt promonya menarik bgt,banyak cuma 50rb udah plus pajak y. Jd klo mau banyak promo menarik",0,0,0,0,0,0,1,1,resto cepat saji satu ini memang favorit banget sih kebetulan kesini nuker kupon dari aplikasi mcd lumayan dapat promo nya menarik banget banyak cuma 5rb sudah ditambah pajak ya jadi kalau mau banyak promo menarik
rasa pedasnya enak tapi terlalu pedas. Pelayanan oke tapi lumayan lama karena banyak antrian. Tempatnya lumayan luas sih.,0,1,0,1,0,1,0,0,rasa pedasnya enak tapi terlalu pedas pelayanan oke tapi lumayan lama karena banyak antrian tempatnya lumayan luas sih
"Pelayanan kurang ramah karyawannya tidak terlalu membantu, kurang nyaman juga sama tempatnya.Tapi harganya terjangkau",0,0,-1,1,-1,1,1,1,pelayanan kurang ramah karyawannya tidak terlalu membantu kurang nyaman juga sama tempatnya tapi harganya terjangkau
"Wafflenya sangat enak, pas sama lidah saya. Tapi sayang tempatnya kurang bersih",1,1,0,0,-1,1,0,0,wafflenya sangat enak pas sama lidah saya tapi sayang tempatnya kurang bersih
"Gaa terlalu ramai, cocok buat tempatnya ngobrol",0,0,0,0,0,1,0,0,tidak terlalu ramai cocok buat tempatnya ngobrol
"Tempatnya cozy meskipun agak berisik karena ramai, pelayanan baik dan responsif meskipun agak lama menunggunya. Top pokoknya",0,0,0,1,0,1,0,0,tempatnya cozy meskipun agak berisik karena ramai pelayanan baik dan responsif meskipun agak lama menunggunya top pokoknya
"tempatnya bagus. Tapi pegawai nya ga ramah, kurang membantu pelanggan. Makanan biasa aja kaya mekdi lain nya.",0,1,-1,1,1,1,0,0,tempatnya bagus tapi pegawai tidak ramah kurang membantu pelanggan makanan biasa saja kayak mekdi lain nya
"Tempat cukup nyaman bersih dan asri walau tidak terlalu luas, pelayanan bagus, cocok untuk bersantai dengan keluarga...mantab.",0,0,1,1,0,1,0,0,tempat cukup nyaman bersih dan asri walau tidak terlalu luas pelayanan bagus cocok untuk bersantai dengan keluarga mantap
"Porsi kecil untuk harga segitu, gak worth it.",0,0,0,0,0,0,-1,1,porsi kecil untuk harga segitu tidak worth it
Makanan disini sangat cocok untuk dinikmati bersama teman dan keluarga bukan cuman makanan minuman juga ada berbagai farian.Rasanya lezat dan istimewa. Pelayanan yang baik dan suasana dan tempatnya juga lumayan mendukung. Harus mampir pokoknya!,1,1,1,1,0,1,0,0,makanan disini sangat cocok untuk dinikmati bersama teman dan keluarga bukan cuman makanan minuman juga ada berbagai farian rasanya lezat dan istimewa pelayanan yang baik dan suasana dan tempatnya juga lumayan mendukung harus mampir pokoknya
"Burger enak, tapi tidak suka root beer. Menu ayamnya juga kurang enak, terlalu kecil dan kering. Ini memiliki outlet lain di lantai dasar dekat pintu masuk mal. Saya bertanya-tanya mengapa setiap A&W yang saya kunjungi memiliki layanan yang buruk, mereka benar-benar harus meningkatkan kualitas staf.",-1,1,-1,1,0,0,0,0,burger enak tapi tidak suka root beer menu ayamnya juga kurang enak terlalu kecil dan kering ini memiliki outlet lain di lantai dasar dekat pintu masuk mal saya bertanya tanya mengapa setiap a w yang saya kunjungi memiliki layanan yang buruk mereka benar harus meningkatkan kualitas staf
"pelayanan kurang responsif, mohon diperbaiki lagi. tempatnya bersih dan lumayan luas walau agak ramai. Untuk harga pas dikantong",0,0,-1,1,0,1,1,1,pelayanan kurang responsif mohon di perbaiki lagi tempatnya bersih dan lumayan luas walau agak ramai untuk harga pas dikantong
"Tempat ini sangat strategis dan nyaman untuk bertemu keluarga maupun teman untuk menemani bersantai dengan menu"" yg tersedia,bisa ngemil dan bisa membicarakan soal bisnis,menunya banyak yg pastinya makanan nya enak cocok untuk memanjakan lidah",1,1,0,0,1,1,0,0,tempat ini sangat strategis dan nyaman untuk bertemu keluarga maupun teman untuk menemani bersantai dengan menu yang tersedia bisa ngemil dan bisa membicarakan soal bisnis menunya banyak yang pastinya makanan enak cocok untuk memanjakan lidah
Ada 3 tingkat. Jdi tidak terlalu pusing utk mencari tempat makannya dan layanannya cepat walaupun harganya mahal,0,0,1,1,1,1,-1,1,ada 3 tingkat jadi tidak terlalu pusing untuk mencari tempat makannya dan layanannya cepat walaupun harganya mahal
Saya tidak mengerti mengapa restoran ini mematok harga setinggi itu untuk makanan yang tidak enak,-1,1,0,0,0,0,-1,1,saya tidak mengerti mengapa restoran ini mematok harga setinggi itu untuk makanan yang tidak enak
parkir nya ga bgitu luas..clean meja nya kurang bersih..pelayanan nya terlalu cuek..minta tissue saja susah..pelayan nya pura2 tidak dengar..skali minta cm dikasih 2 lembar..hrus nya tisue dksih lebih jg tdak apa2 krn yg bw anak kecil pst membutuhkan bnyk..toh sedotan jg sdh tidak ada..hrus lbih ramah pelayannya..,0,0,-1,1,-1,1,0,0,parkir tidak bgitu luas clean meja kurang bersih pelayanan terlalu cuek minta tissue saja susah pelayan pura tidak dengar sekali minta cuma dikasih lembar harus tisue dksih lebih juga tidak apa karena yang bawa anak kecil pasti membutuhkan banyak toh sedotan juga sudah tidak ada harus lebih ramah pelayanannya
tempatnya nyaman dan bersih. pelayanan perlu ditingkatkan lagi. untuk harga pas dikantong,0,0,0,1,1,1,1,1,tempatnya nyaman dan bersih pelayanan perlu ditingkatkan lagi untuk harga pas dikantong
"Enak di lantai 2, tapi kalo buat perokok tempatnya nya gaada yg enak sih. Harganya affordable",0,0,0,0,0,1,1,1,enak di lantai tapi kalau buat perokok tempatnya tidak ada yang enak sih harganya affordable
"Harga makanan murah sih, tapi tempatnya berantakan dan pelayanannya jelek",0,0,-1,1,-1,1,1,1,harga makanan murah sih tapi tempatnya berantakan dan pelayanannya jelek
"Pelayanannya standar restoran si..
Makanan dan semua yang di jual sungguh enak tiada duanya..
Recommended deh pokoknya.. Harganya juga cukup terjangkau",1,1,1,1,0,0,0,1,pelayanannya standar restoran sih makanan dan semua yang di jual sungguh enak tiada duanya rekomendasi deh pokoknya harganya juga cukup terjangkau
Tempat ny strategis mudah dijangkau dn tempatnya nya nyaman parkiran luas cocok banget buat mampir disaat perjalanan jauh makanan ny terjakau kantong,0,0,0,0,1,1,1,1,tempat nya strategis mudah dijangkau dan tempatnya nyaman parkiran luas cocok banget buat mampir disaat perjalanan jauh makanan nya terjakau kantong
Tempatnya asik buat makan maupun sekedar nongkrong bersama keluarga dan teman-teman. Fasilitas sangat baik tapi sayang pelayanan juga kurang bagus.,0,0,-1,1,1,1,0,0,tempatnya asyik buat makan maupun sekadar nongkrong bersama keluarga dan teman fasilitas sangat baik tapi sayang pelayanan juga kurang bagus
"So Far memang tempatnya stragis, tapi memang kalau disini karena trllu rame kadang agak sesak ya, jadi lebih sering untuk Drive Thru.. Cuma senang banyak diskonnya jadi harganya murah",0,0,0,0,0,1,1,1,so far memang tempatnya stragis tapi memang kalau disini karena terlalu ramai kadang agak sesak ya jadi lebih sering untuk drive thru cuma senang banyak diskonnya jadi harganya murah
"Suka banget makan disini, kalo menunya tergantung selera semua menunya serupa tidak jauh bervariasi. Pekerja nya pada helpful dan ramah. tempatnya langganan aku sih ya. Udh gitu tempatnya Parkirnya luas",0,1,1,1,1,1,0,0,suka banget makan disini kalau menunya tergantung selera semua menunya serupa tidak jauh bervariasi yang kerja pada helpful dan ramah tempatnya langganan aku sih ya sudah begitu tempatnya parkirnya luas
"Tempatnya nggak nyaman dan pelayanannya lambat, tapi harganya terjangkau dan makanannya enak.",1,1,-1,1,-1,1,1,1,tempatnya tidak nyaman dan pelayanannya lambat tapi harganya terjangkau dan makanannya enak
"Makan nya mantap sesuai selera,
Paket panasnya josss, MC flury yang terbaru enakkkkk,
tempatnya bersih dan wangi,",1,1,0,0,1,1,0,0,makan mantap sesuai selera paket panasnya joss mc flury yang terbaru enakk tempatnya bersih dan wangi
"Makanan enak tapi kasir tidak ramah, tidak akan pernah kembali ke cabang ini",1,1,-1,1,0,0,0,0,makanan enak tapi kasir tidak ramah tidak akan pernah kembali ke cabang ini
"Tempatnya ramai dan nyaman, ada drive thru nya, antrinya lumayan lama tapi pelayanannya cukup cekatan. Harganya kurang bersahabat",0,0,0,0,1,1,-1,1,tempatnya ramai dan nyaman ada drive thru antrinya lumayan lama tapi pelayanannya cukup cekatan harganya kurang bersahabat
"McD di Hayam Wuruk ini cukup baik dan bersih. Kondisi di dalam cukup dingin dan leluasa. Jarak antar kursi dan meja tidak terlalu mepet. Akan tetapi karena bangunan didominasi kaca, saat siang terasa terik untuk dine-in disini. Selain itu,",0,0,0,0,0,1,0,0,mcd di hayam wuruk ini cukup baik dan bersih kondisi di dalam cukup dingin dan leluasa jarak antar kursi dan meja tidak terlalu mepet akan tetapi karena bangunan didominasi kaca saat siang terasa terik untuk dine in disini selain itu
"Tempat yg nyaman, makanannya enak2 semuaa. Harganya juga murah sekali",1,1,0,0,1,1,1,1,tempat yang nyaman makanannya enak semua harganya juga murah sekali
"Enak banget, your nowadays type of cafe. Siang-sore nongkrong di sini juga enak. Ada 3 lantai, wifi juga ada. Mantul dah",1,1,0,0,1,1,0,0,enak banget your nowadays type of cafe siang sore nongkrong di sini juga enak ada 3 lantai wifi juga ada mantap betul sudah
"Enak bgt, tempatnya nongkrong dan makan enak, harganya lumayan terjangkau",1,1,0,0,1,1,0,1,enak banget tempatnya nongkrong dan makan enak harganya lumayan terjangkau
"Layanan buruk, tempatnya nya gak nyaman, mana makannya depan WC, pelayanannya kyak garong. Males!",0,0,-1,1,-1,1,0,0,layanan buruk tempatnya tidak nyaman mana makannya depan wc pelayanannya kayak garong malas
"Hahahahaha dlu pas msh kerja di jakart suka nongkrong disini malem2
Tempatny rame, tp di lt 2nya biasanya kosong kok. Harganya tergolong mahal",0,0,0,0,0,1,-1,1,hahahahaha dulu pas masih kerja di jakart suka nongkrong disini malam tempatny ramai tapi di lt biasanya kosong kok harganya tergolong mahal
"Makanan terlalu pedas, padahal pesan yang gak pedas dan tempatnya sempit. Tapi banyak diskon si jadi harganya murah",-1,1,0,0,-1,1,1,1,makanan terlalu pedas padahal pesan yang tidak pedas dan tempatnya sempit tapi banyak diskon sih jadi harganya murah
"saya gojek tapi makanan yang datang nggak lengkap, nomor tidak bisa dihubungi. restorannya ditutup saja kalau jualannya nggak niat. Pembeli juga complain makanannya ga enak kaya basi",-1,1,-1,1,0,0,0,0,saya gojek tapi makanan yang datang tidak lengkap nomor tidak bisa menghubungi restorannya ditutup saja kalau jualannya tidak niat pembeli juga komplain makanannya tidak enak kayak basi
"Lokasi yang tepat untuk nongkrong bersama teman dan keluarga, layanan baik makanan yang enak serta terjangkau, akses mudah dengan lokasi parkir yang mudah.",1,1,1,1,1,1,1,1,lokasi yang tepat untuk nongkrong bersama teman dan keluarga layanan baik makanan yang enak serta terjangkau akses mudah dengan lokasi parkir yang mudah
"Walaupun pelayanannya kurang baik, tapi karna harganya murah jadi saya suka",0,0,-1,1,0,0,1,1,walaupun pelayanannya kurang baik tapi karena harganya murah jadi saya suka
"Lokasinya strategis.....pegawainya cekatan,sayang waktu kesini kasirnya cuman 1 yg jaga...jadi agak lama ordernya....",0,0,0,1,1,1,0,0,lokasinya strategis pegawainya cekatan sayang waktu kesini kasirnya cuman 1 yang jaga jadi agak lama ordernya
"Minumannya encer, kayak air putih dikasih es doang. Tempatnya kurang bersih.",-1,1,0,0,-1,1,0,0,minumannya encer kayak air putih dikasih es saja tempatnya kurang bersih
"kebetulan mcd di sini buka 24 jam jadi kalo mau sambil ngerjain tugas atau sekadar gabut bisa kesini sekitar jam 9 ke atas karena pengunjungnya udah mulai sepi. Soal rasa makanan gausa ditanya deh, udah pada tau juga kan makanan mcd kayak gimana :). Pelayanan oke",1,1,0,1,0,0,0,0,kebetulan mcd di sini buka 4 jam jadi kalau mau sambil ngerjain tugas atau sekadar gabut bisa kesini sekitar jam 9 ke atas karena pengunjungnya sudah mulai sepi soal rasa makanan gausa ditanya deh sudah pada tahu juga akan makanan mcd kayak bagaimana pelayanan oke
"Tempatnya bagus banget,comfy,makanannya enak pastinya.cocok buat anak kuliahan yang mau ngerjain tugas, cocok juga buat family yang mau makan bersama",1,1,0,0,1,1,0,0,tempatnya bagus banget comfy makanannya enak pastinya cocok buat anak kuliahan yang mau ngerjain tugas cocok juga buat family yang mau makan bersama
"Makanannya kok rasanya gini ya, kaya ga ada rasa kurang enak. Tempatnya juga sepertinya tidak dibersihkan dengan baik, banyak debu-debu yang menempel",-1,1,0,0,-1,1,0,0,makanannya kok rasanya begini ya kayak tidak ada rasa kurang enak tempatnya juga sepertinya tidak dibersihkan dengan baik banyak debu yang menempel
"Note disini hanya lokasi parkiran yang terbatas, jadi buat yang bawa mobil Hrus pikirin alternative tmpt parkir klo makan di jam istirahat..",0,0,0,0,-1,1,0,0,note disini hanya lokasi parkiran yang terbatas jadi buat yang bawa mobil harus pikirin alternative tmpt parkir kalau makan di jam istirahat
"Harganya terlalu mahal, tempatnya gak nyaman karena sempit dan kotor",0,0,0,0,-1,1,-1,1,harganya terlalu mahal tempatnya tidak nyaman karena sempit dan kotor
